Customer_ID,Age,Gender,Annual_Income,Occupation,Card_Type,Credit_Limit,Card_Age_Months,Monthly_Spending,Monthly_Transactions,Avg_Transaction_Value,Online_Shopping_Spending,Grocery_Spending,Fuel_Spending,Dining_Spending,Travel_Spending,Entertainment_Spending,Utility_Bill_Spending,Outstanding_Balance,Statement_Balance,Payment_Amount,Payment_Ratio,Credit_Utilization,Cash_Advance_Amount,EMI_Count,International_Transactions,Reward_Points_Earned,Reward_Points_Redeemed,Mobile_App_Login,Credit_Score,Log_Annual_Income,Log_Credit_Limit,Log_Monthly_Spending,Spending_To_Income_Ratio
CC100000,33,M,787406,Self-Employed,Silver,220000.0,20,36733.49,83,427.21,1317.13,9400.14,4339.48,10476.83,3092.29,2275.83,5831.79,149956.45,178851.64,82271.75,0.46,0.7,14839.84,2,0,1081,210,23,492,13.576500547470038,12.301387370778713,10.511471374740365,0.04665127011926946
CC100001,58,M,598084,Retired,Basic,112000.0,101,30212.78,72,399.89,3892.84,6134.61,3442.74,3869.99,2020.56,2639.89,8212.15,84159.21,110031.93,104530.33,0.95,0.76,0.0,2,0,606,163,22,607,13.301488163299997,11.626263078808801,10.316053390684429,0.05051594759180122
CC100002,40,F,1710737,Private Employee,Platinum,928000.0,12,115895.71,142,837.85,13547.09,40293.0,11946.73,6272.35,1440.7,8502.96,33892.88,342440.99,424486.51,148570.28,0.35,0.38,73713.82,2,3,6857,0,48,549,14.352435414322803,13.740788089353964,11.660454642384817,0.06774607084509339
CC100003,42,M,712664,Private Employee,Silver,211000.0,54,21804.26,64,357.05,7582.7,5597.02,1207.37,1928.58,878.3,534.98,4075.32,33924.85,49983.38,47484.21,0.95,0.16,0.0,3,1,660,369,13,740,13.476766743262045,12.259618151783465,9.98990650407645,0.0305954278589827
CC100004,19,M,1504662,Government Employee,Gold,572000.0,44,91039.33,67,1367.05,19793.91,9898.38,13911.88,13865.43,2876.45,2445.43,28247.84,85498.24,153558.07,50674.16,0.33,0.15,0.0,5,0,3673,1322,37,570,14.224079510825447,13.256896018612155,11.419057874133905,0.060504837630906444
CC100005,19,M,1554404,Government Employee,Gold,563000.0,59,91091.28,66,1317.78,26240.45,22618.69,10485.95,15911.55,3121.08,5376.91,7336.64,287076.14,372579.5,160209.18,0.43,0.52,51365.71,3,0,3587,0,54,544,14.256603393715439,13.241036683319184,11.419628337615528,0.058602062269148804
CC100006,18,M,1127008,Private Employee,Gold,439000.0,38,53623.13,49,1070.52,8558.76,22503.42,5617.26,3690.59,5693.43,1560.84,5998.83,279484.27,325495.82,309221.03,0.95,0.65,0.0,1,4,2114,695,19,648,13.935077778793044,12.992256969959042,10.889754432322487,0.04758007928916582
CC100007,51,F,546395,Self-Employed,Basic,91000.0,44,24788.08,66,368.53,1250.54,9457.69,3523.05,3291.08,587.4,2381.69,4296.64,46228.31,69908.6,42644.25,0.61,0.5,9506.98,3,0,492,177,10,556,13.211099266567704,11.418625774449598,10.118158512601974,0.045366593763753946
CC100008,35,M,577570,Private Employee,Basic,94000.0,74,27929.24,46,592.62,3498.18,4890.02,4349.43,6961.25,3825.69,58.48,4346.19,50940.14,73350.19,22005.06,0.3,0.54,16816.88,0,0,549,372,28,504,13.26658665754407,11.451060699493427,10.237465251813152,0.048356458956518585
CC100009,38,M,774834,Private Employee,Basic,140000.0,81,31146.89,70,457.44,5139.14,9565.31,1833.29,3631.55,4356.08,4462.66,2158.86,15553.73,43969.02,42210.26,0.96,0.11,0.0,0,0,624,0,29,765,13.560405382442568,11.849404844423074,10.346501785163737,0.040198145666811236
CC100010,22,M,703535,Self-Employed,Silver,204000.0,51,39618.58,61,630.85,5394.22,4546.93,8558.84,2519.63,4246.6,680.7,13671.67,182523.79,216055.33,216055.33,1.0,0.89,0.0,2,0,1199,691,42,581,13.463874326935192,12.225880174775122,10.58707871948964,0.05631358780932984
CC100011,56,M,911283,Private Employee,Gold,343000.0,18,42341.08,57,736.19,6654.72,6579.28,8301.93,5289.05,1161.07,778.58,13576.46,315168.96,349973.73,342974.26,0.98,0.91,27785.06,1,3,1696,0,39,585,13.722609872994411,12.745488641595722,10.653536669604078,0.04646315140251203
CC100012,54,F,1110915,Private Employee,Gold,430000.0,88,72333.5,106,662.82,7388.17,9576.63,18337.21,14044.85,1640.01,6616.17,14730.46,65513.38,126955.86,119338.51,0.94,0.15,0.0,4,0,2951,659,52,720,13.920695458202616,12.971542813248437,11.189056472756674,0.06511164220426305
CC100013,28,M,834770,Government Employee,Silver,240000.0,26,31458.85,102,304.88,4169.28,6218.01,3407.85,13517.04,939.02,2615.42,592.22,91403.16,121307.96,114029.48,0.94,0.37,36908.14,0,0,935,0,18,663,13.634912714722168,12.388398368982115,10.356467408641588,0.037685649939052844
CC100014,34,M,994173,Private Employee,Gold,382000.0,17,33232.3,69,495.94,2955.56,9862.88,5954.59,3349.43,478.99,6924.21,3706.63,210018.5,239650.72,93463.78,0.39,0.55,67134.65,2,0,1325,438,8,485,13.809667520621005,12.853178505386333,10.41130766427229,0.03342707959245095
CC100015,31,M,337442,Private Employee,Basic,63000.0,22,15826.84,55,290.95,1511.89,1811.44,1286.68,6295.51,2093.34,1563.72,1264.26,11739.31,24534.26,3434.8,0.14,0.19,0.0,2,0,316,177,26,541,12.729151886142498,11.050905878263567,9.669525693786039,0.046902401003819844
CC100016,28,M,652143,Private Employee,Silver,196000.0,26,20460.45,39,543.06,3772.66,3620.96,4130.28,6448.27,110.22,1983.8,394.26,77635.96,97311.68,96338.56,0.99,0.4,0.0,3,0,622,506,12,659,13.38802067541876,12.185875040240456,9.926297906984683,0.03137417713551516
CC100017,35,M,948576,Private Employee,Gold,347000.0,15,64882.13,125,518.64,11014.34,12475.57,16614.54,8008.53,8255.69,5923.06,2590.4,38329.11,102269.98,78747.88,0.77,0.11,15812.78,4,0,2621,0,26,673,13.76271824587403,12.757082940769225,11.08034293053563,0.06839950620647793
CC100018,34,F,919653,Business Owner,Silver,249000.0,10,34560.05,43,779.0,6887.02,3486.6,4541.77,10816.52,673.08,2307.92,5847.13,30297.2,60253.91,59651.37,0.99,0.12,0.0,1,1,1037,549,21,739,13.731752791330265,12.425212191503038,10.450482604400914,0.03757944572531619
CC100019,28,F,431486,Private Employee,Silver,109000.0,68,13849.95,16,887.36,1880.0,6247.38,2127.03,749.4,218.86,2031.2,596.09,26800.84,38763.45,32173.66,0.83,0.24,0.0,0,0,410,164,6,681,12.974992661589438,11.599112335481124,9.53610910132092,0.03209826042949022
CC100020,40,F,501384,Government Employee,Silver,154000.0,35,27058.66,54,526.13,4473.83,13430.7,4278.22,743.2,123.25,602.49,3406.97,80859.11,100652.61,59385.04,0.59,0.51,0.0,1,0,802,460,16,582,13.125129548024287,11.944714374881176,10.205799336974742,0.05396793674999665
CC100021,22,F,346545,Private Employee,Basic,57000.0,47,16959.51,50,339.8,3030.2,4539.61,994.5,1122.14,46.47,3150.56,4076.03,44772.28,60937.36,16453.09,0.27,0.8,0.0,1,0,340,0,27,451,12.755770844933535,10.950824090522445,9.738642979648494,0.048938839110391465
CC100022,29,F,1566797,Self-Employed,Platinum,840000.0,11,40956.37,40,1058.42,2342.5,11723.46,5663.78,4695.4,6411.65,854.74,9264.84,606948.45,644833.13,638384.8,0.99,0.74,115311.16,1,1,2477,0,31,621,14.264544604285891,13.641158361294979,10.62028704866753,0.026140189188349608
CC100023,28,F,852293,Self-Employed,Silver,234000.0,29,31538.59,100,308.97,5125.48,6021.57,5261.63,4853.12,3498.61,3171.31,3606.87,38918.24,61374.97,60147.47,0.98,0.17,0.0,1,0,946,0,9,736,13.655686816710883,12.36308066783498,10.358998861066652,0.03700439872160156
CC100024,26,M,1301146,Private Employee,Gold,564000.0,128,48562.45,43,1179.79,1025.13,7034.02,5216.52,14174.45,3731.53,2403.74,14977.06,180085.72,217124.34,208439.37,0.96,0.32,0.0,1,0,1925,1521,34,702,14.078756741119438,13.242811303528269,10.790626469338225,0.03732282925945802
CC100025,54,F,7260173,Business Owner,Platinum,3755000.0,79,304055.29,112,2627.2,12114.49,39068.43,54968.08,82751.08,30307.57,26156.99,58688.64,925826.65,1163523.27,558491.17,0.48,0.25,0.0,5,2,18285,1914,48,602,15.797914353455925,15.13859910949192,12.624968127721218,0.04187989597487294
CC100026,30,M,928630,Self-Employed,Gold,391000.0,80,41771.57,97,440.39,3874.07,9490.68,5662.13,8017.64,3783.49,6141.2,4802.37,40016.42,79195.07,66523.86,0.84,0.1,0.0,5,0,1693,0,32,717,13.741466737598936,12.876465396508989,10.639995183010505,0.04498193037006147
CC100027,30,F,680599,Private Employee,Basic,127000.0,19,24054.79,65,382.85,2842.25,11859.47,919.95,780.22,3005.6,2130.4,2516.9,47141.92,65820.33,65162.13,0.99,0.37,19533.84,1,0,481,125,16,680,13.430730041048943,11.751950239425476,10.0881309949994,0.03534355765971823
CC100028,40,F,266040,Student,Basic,50000.0,60,5747.94,36,154.4,791.81,2438.73,214.37,920.24,637.19,466.9,278.71,18979.2,24619.46,9355.39,0.38,0.39,0.0,0,0,113,51,16,565,12.491405711224552,10.819798284210286,8.65677076897116,0.02160554803707692
CC100029,21,M,4711779,Business Owner,Signature,3196000.0,62,365048.29,159,2248.0,77820.98,93288.3,113490.52,19785.81,39894.57,15536.29,5231.82,1285018.96,1612329.74,1596206.44,0.99,0.41,0.0,4,2,28760,6290,48,692,15.365576313919675,14.977410898759368,12.80778766454329,0.0774756816903393
CC100030,42,F,527078,Private Employee,Basic,102000.0,52,11733.91,17,681.51,3767.91,1245.57,3260.13,703.72,620.93,80.85,2054.81,22041.34,32921.48,29629.33,0.9,0.21,18032.05,0,0,231,53,4,706,13.175105721412189,11.532737896139919,9.370323438890567,0.022262188897615495
CC100031,18,F,649609,Private Employee,Basic,127000.0,41,34636.21,100,349.94,9408.92,14070.41,1468.14,4613.05,186.01,1389.52,3500.16,24007.95,49590.08,36200.76,0.73,0.19,0.0,2,0,692,261,19,661,13.384127461799787,11.751950239425476,10.45268381670746,0.053318550080843734
CC100032,19,F,2686265,Self-Employed,Gold,1065000.0,7,170690.14,118,1483.52,47305.59,26932.93,9060.49,25639.04,5338.29,34127.62,22286.17,579419.73,738393.9,708858.14,0.96,0.53,0.0,5,1,6785,2622,63,626,14.803662683179844,13.878486296092358,12.047611003510463,0.06354180991055038
CC100033,62,M,934079,Private Employee,Gold,397000.0,20,60291.19,168,363.46,9206.33,15408.77,3924.02,4114.4,4678.13,3241.33,19718.22,171234.95,231323.57,131854.43,0.57,0.43,0.0,1,5,2458,470,34,606,13.747317366647888,12.891694078557842,11.006957855255648,0.06454613581865618
CC100034,62,F,935052,Private Employee,Gold,401000.0,35,56257.56,72,749.54,8061.04,11573.45,12228.81,11861.53,1992.6,8883.05,1657.08,282005.09,338203.48,213068.19,0.63,0.7,0.0,4,1,2217,547,31,515,13.748358491156297,12.901719200051183,10.937713486266581,0.060165167284170665
CC100035,49,M,1197858,Self-Employed,Gold,433000.0,112,51063.68,76,702.66,5985.3,17435.86,4643.56,12718.27,5334.52,880.96,4065.2,82739.74,128070.19,60192.99,0.47,0.19,0.0,2,0,2067,611,37,622,13.996046354570527,12.978495316450783,10.840848343469506,0.042629159716405206
CC100036,33,F,801882,Private Employee,Gold,322000.0,24,43528.82,84,511.61,2344.18,8867.2,12499.7,4232.7,8091.99,2284.27,5208.78,67999.9,111075.05,108853.55,0.98,0.21,0.0,2,0,1774,0,34,719,13.594717990919575,12.682309930111785,10.681201499458538,0.0542833234808328
CC100037,21,M,1011879,Government Employee,Silver,279000.0,27,56613.11,107,535.79,5738.5,7830.93,3552.6,1714.73,10546.36,9740.28,17489.7,165677.62,206658.53,103329.26,0.5,0.61,24653.12,5,1,1698,369,32,513,13.827320544723632,12.53897064502647,10.944013526409085,0.05594849779414388
CC100038,43,F,3576323,Business Owner,Platinum,2100000.0,76,209543.07,84,2474.78,16164.39,17842.54,35479.75,8878.28,94055.25,2672.16,34450.7,213324.38,364048.36,302160.14,0.83,0.1,368590.44,4,3,12679,0,56,710,15.089846015198091,14.557448378884015,12.252689354217415,0.05859176310400769
CC100039,34,F,1783664,Private Employee,Platinum,965000.0,24,46713.34,57,798.02,4081.52,23428.54,10032.05,891.32,4476.02,1006.31,2797.58,238008.57,276573.47,262744.8,0.95,0.25,0.0,1,6,2775,1270,28,719,14.39418079422011,13.779884416590017,10.751806462902913,0.026189540182309054
CC100040,21,M,993601,Retired,Gold,369000.0,47,66200.89,147,433.25,24918.61,16828.82,2922.44,2946.19,3850.62,3297.99,11436.21,332067.53,397058.13,226323.13,0.57,0.92,47152.87,1,1,2636,0,34,481,13.809092003041773,12.818554633046093,11.100464291366503,0.06662723769333337
CC100041,26,M,950727,Private Employee,Gold,355000.0,29,39147.05,60,644.58,2516.74,18832.43,8867.46,1681.22,179.34,663.73,6406.13,128694.1,164408.13,123306.1,0.75,0.37,0.0,1,2,1559,230,35,640,13.76498328589617,12.779875885354993,10.575105891749349,0.041175910644788934
CC100042,18,M,951644,Private Employee,Silver,277000.0,35,35356.07,54,629.61,5706.19,4779.42,5178.24,2234.58,6148.38,1728.29,9580.98,38381.13,73269.27,58615.42,0.8,0.14,0.0,1,0,1069,0,31,675,13.765947345069657,12.531776395271262,10.473253651327385,0.037152622198667225
CC100043,52,M,726513,Private Employee,Basic,134000.0,44,20788.46,35,572.8,6587.87,4105.07,2925.04,4325.95,387.27,1400.57,1056.69,25773.84,43521.11,43085.9,0.99,0.19,0.0,2,0,415,0,19,729,13.496013032281681,11.80560254159177,9.942201406488755,0.02861402342382567
CC100044,32,F,799417,Private Employee,Silver,213000.0,47,21497.44,44,479.74,2057.1,1749.87,7823.62,4131.36,483.6,1064.89,4187.0,104583.3,119863.11,119863.11,1.0,0.49,0.0,0,0,644,0,23,675,13.591639241893525,12.269052139516223,9.975735653343751,0.02689139710530435
CC100045,41,M,1600113,Government Employee,Gold,581000.0,102,40838.45,91,437.75,4566.61,17503.22,2347.02,2123.96,2934.35,3357.51,8005.76,218698.32,256173.81,253612.07,0.99,0.38,0.0,3,0,1629,201,38,710,14.28558543467185,13.272507757002963,10.617403804998888,0.025522228742435548
CC100046,27,M,2110557,Self-Employed,Platinum,1134000.0,35,156214.52,111,1360.7,12494.51,43303.88,10241.66,16375.07,7126.98,15297.54,51374.88,430340.4,566097.17,486843.57,0.86,0.38,0.0,4,7,9391,2200,62,684,14.5624629254665,13.941262645103661,11.958991871247,0.07401577877274096
CC100047,37,M,6177202,Business Owner,Platinum,3435000.0,64,451309.4,105,4207.2,58976.56,106088.39,49108.29,38805.96,21899.93,105010.77,71419.5,625130.32,1067626.52,1035597.72,0.97,0.18,0.0,3,8,27399,4703,47,754,15.636376137987797,15.04952777475936,13.019910630087573,0.07306048919871318
CC100048,44,M,722482,Private Employee,Silver,220000.0,38,21768.88,39,564.75,3871.56,6422.47,1782.15,2962.72,2559.22,817.95,3352.81,155017.33,176022.95,54567.11,0.31,0.71,6469.3,1,0,641,0,9,467,13.490449169280138,12.301387370778713,9.988282642040687,0.03013068837659443
CC100049,32,F,614546,Private Employee,Silver,162000.0,53,14254.64,36,408.38,659.44,4071.09,3703.85,3051.33,87.38,999.39,1682.16,28578.95,39916.06,24348.8,0.61,0.18,10021.09,0,0,427,100,10,644,13.328640690010513,11.995357787034976,9.564907896866488,0.023195399530333036
CC100050,66,M,6452078,Business Owner,Signature,4508000.0,55,344142.5,106,3165.88,32653.29,52611.85,10767.84,136597.36,55706.44,8688.01,47117.71,3309850.14,3637326.68,2764368.28,0.76,0.73,114030.22,5,11,27015,23055,36,575,15.679912962417621,15.32136437596964,12.748814000534969,0.053338242346026604
CC100051,52,M,771682,Private Employee,Basic,128000.0,49,23680.26,43,532.71,9683.86,5301.39,1264.76,4709.13,1019.87,566.56,1134.68,59733.65,79074.88,68004.4,0.86,0.47,17922.23,1,0,473,0,14,625,13.556329122917054,11.759793355371237,10.072439297041829,0.03068655223225776
CC100052,56,F,1240567,Government Employee,Silver,326000.0,17,39549.88,46,896.83,4085.76,16193.84,4544.59,3057.7,508.95,2725.64,8433.41,121337.6,158507.36,129976.04,0.82,0.37,0.0,3,0,1169,635,37,645,14.031079897217825,12.694655727828803,10.58534322326432,0.0318804869061334
CC100053,45,F,901044,Private Employee,Gold,356000.0,58,50329.05,52,931.84,14378.83,9610.37,5815.36,4881.3,2914.4,2212.31,10516.49,128123.28,172783.45,172783.45,1.0,0.37,42965.75,4,0,2036,1608,41,690,13.711310479849393,12.782688818818986,10.826357593213187,0.055856373273049306
CC100054,35,M,907962,Private Employee,Silver,242000.0,77,54930.26,62,873.46,10591.98,22548.03,1775.9,10662.05,1920.21,580.96,6851.13,35797.56,81745.25,10626.88,0.13,0.15,0.0,3,1,1616,581,42,556,13.718958907854493,12.396697137361691,10.913837864358678,0.060498412928509146
CC100055,65,F,375961,Private Employee,Basic,62000.0,11,11829.41,40,290.64,2163.71,2046.62,3563.3,972.73,680.58,1296.2,1106.26,23792.74,35138.4,28110.72,0.8,0.38,0.0,0,0,238,25,11,659,12.837243353434951,11.034905792929415,9.378428614021912,0.03146446040862046
CC100056,18,F,641516,Government Employee,Basic,123000.0,64,32389.17,71,469.92,3097.62,3528.87,3688.22,7744.71,4445.34,2760.3,7124.11,53821.16,84325.17,67460.14,0.8,0.43,4287.85,0,0,653,137,28,641,13.371590963076411,11.719947764402807,10.3856102606851,0.05048848352885215
CC100057,27,M,1215611,Government Employee,Silver,370000.0,84,56431.55,96,585.21,11792.43,16718.7,9146.91,5634.55,335.92,2623.99,10179.05,254725.72,301254.07,286191.37,0.95,0.68,26224.22,3,0,1720,0,27,600,14.010758211644362,12.821260987319457,10.940801398671605,0.046422375249595284
CC100058,18,F,1953675,Government Employee,Platinum,1035000.0,32,94895.01,153,624.0,15015.65,59764.1,2161.9,6139.39,3116.7,3658.15,5039.12,432942.37,503718.46,402974.77,0.8,0.43,0.0,5,8,5665,0,47,650,14.485223284120796,13.849912950864715,11.460536939457022,0.048572567084860206
CC100059,32,M,1315819,Private Employee,Gold,510000.0,83,84369.64,107,755.14,14507.37,20209.05,17403.91,1638.35,7143.85,13335.35,10131.74,141784.57,207819.97,189116.17,0.91,0.27,0.0,6,0,3341,1000,62,679,14.08997060339692,13.1421679654829,11.342974752765606,0.06411948755821188
CC100060,32,F,1454637,Government Employee,Gold,583000.0,34,63506.69,106,622.5,5455.37,21611.21,13520.46,2337.22,3344.42,4374.21,12863.79,91418.54,144960.05,56534.42,0.39,0.16,0.0,3,0,2528,673,27,585,14.190267630381701,13.275944180597024,11.058916279910688,0.043658101642927695
CC100061,33,F,1425777,Private Employee,Gold,575000.0,59,59097.58,108,563.76,20950.17,5507.36,10147.9,3867.84,572.11,11445.9,6606.3,114394.64,159066.57,146341.24,0.92,0.2,99224.54,2,0,2401,1235,36,702,14.170228187612551,13.26212705890841,10.986962176032776,0.041449385141986095
CC100062,48,F,547264,Private Employee,Basic,99000.0,13,13773.02,31,461.34,676.99,4325.79,2555.18,4541.36,794.63,374.04,505.02,26228.39,38802.19,12804.72,0.33,0.27,0.0,0,2,276,0,6,582,13.212688424785622,11.502885230075814,9.530539488114625,0.025167049175075156
CC100063,32,M,6506899,Business Owner,Platinum,3630000.0,33,384826.54,132,2982.77,43905.64,65708.09,19063.16,45983.78,11420.13,34916.66,163829.07,2638907.23,2931358.21,2433027.31,0.83,0.74,623027.61,2,5,23313,7484,59,574,15.68837371029387,15.104743481723089,12.860550564859274,0.059141311398779754
CC100064,31,F,1556494,Government Employee,Gold,595000.0,33,98830.07,87,1164.72,25717.8,32674.51,2739.78,2266.45,13503.56,6863.37,15064.6,103899.42,177623.74,108350.48,0.61,0.17,95076.27,4,0,4028,0,50,627,14.257947056523273,13.296318365198623,11.501167307983685,0.06349531061434548
CC100065,38,F,781460,Government Employee,Basic,143000.0,40,38611.25,109,361.07,3114.84,7794.12,7243.42,11209.24,862.7,5871.52,2515.42,51425.2,89436.16,84964.35,0.95,0.37,0.0,3,0,761,0,35,672,13.56892052356771,11.870606902224587,10.561324862618632,0.04940911882822654
