gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,average_score,reading_math_ratio,writing_math_ratio
female,group B,bachelor's degree,standard,none,72,72,74,218,72.66666666666667,0.9999999861111113,1.0277777635030867
female,group C,some college,standard,completed,69,90,88,247,82.33333333333333,1.3043478071833652,1.2753623003570682
female,group B,master's degree,standard,none,90,95,93,278,92.66666666666667,1.0555555438271607,1.0333333218518521
male,group A,associate's degree,free/reduced,none,47,57,44,148,49.333333333333336,1.2127659316432782,0.9361701928474427
male,group C,some college,standard,none,76,78,75,229,76.33333333333333,1.0263157759695294,0.9868420922783936
female,group B,associate's degree,standard,none,71,83,78,232,77.33333333333333,1.1690140680420553,1.0985915338226544
female,group B,some college,standard,completed,88,95,92,275,91.66666666666667,1.0795454422778927,1.0454545335743803
male,group B,some college,free/reduced,none,40,43,39,122,40.666666666666664,1.0749999731250008,0.9749999756250006
male,group D,high school,free/reduced,completed,64,64,67,195,65.0,0.9999999843750003,1.0468749836425784
female,group B,high school,free/reduced,none,38,60,50,148,49.333333333333336,1.5789473268698073,1.3157894390581728
male,group C,associate's degree,standard,none,58,54,52,164,54.666666666666664,0.9310344667063023,0.896551708680143
male,group D,associate's degree,standard,none,40,52,43,135,45.0,1.299999967500001,1.0749999731250008
female,group B,high school,standard,none,65,81,73,219,73.0,1.246153826982249,1.1230769057988168
male,group A,some college,standard,completed,78,72,70,220,73.33333333333333,0.9230769112426037,0.8974358859303092
female,group A,master's degree,standard,none,50,53,58,161,53.666666666666664,1.0599999788000005,1.1599999768000004
female,group C,some high school,standard,none,69,75,78,222,74.0,1.0869565059861377,1.1304347662255831
male,group C,high school,standard,none,88,89,86,263,87.66666666666667,1.011363624870868,0.9772727161673556
female,group B,some high school,free/reduced,none,18,32,28,78,26.0,1.7777776790123512,1.5555554691358071
male,group C,master's degree,free/reduced,completed,46,42,46,134,44.666666666666664,0.9130434584120988,0.9999999782608701
female,group C,associate's degree,free/reduced,none,54,58,61,173,57.666666666666664,1.0740740541838139,1.1296296087105628
male,group D,high school,standard,none,66,69,63,198,66.0,1.0454545296143254,0.9545454400826449
female,group B,some college,free/reduced,completed,65,75,70,210,70.0,1.1538461360946748,1.07692306035503
male,group D,some college,standard,none,44,54,53,151,50.333333333333336,1.227272699380166,1.2045454271694223
female,group C,some high school,standard,none,69,73,73,215,71.66666666666667,1.0579709991598407,1.0579709991598407
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,75.0,0.9594594464937913,1.0810810664718775
male,group A,master's degree,free/reduced,none,73,74,72,219,73.0,1.013698616250704,0.9863013563520362
male,group B,some college,standard,none,69,54,55,178,59.333333333333336,0.7826086843100191,0.7971014377231675
female,group C,bachelor's degree,standard,none,67,69,75,211,70.33333333333333,1.0298507308977503,1.1194029683671198
male,group C,high school,standard,none,70,70,65,205,68.33333333333333,0.9999999857142859,0.9285714153061226
female,group D,master's degree,standard,none,62,70,75,207,69.0,1.1290322398543187,1.209677399843913
female,group D,some college,standard,none,69,74,74,217,72.33333333333333,1.0724637525729892,1.0724637525729892
female,group B,some college,standard,none,63,65,61,189,63.0,1.031746015369111,0.9682539528848579
female,group E,master's degree,free/reduced,none,56,72,65,193,64.33333333333333,1.2857142627551026,1.1607142649872453
male,group D,some college,standard,none,40,42,38,120,40.0,1.0499999737500008,0.9499999762500007
male,group E,some college,standard,none,97,87,82,266,88.66666666666667,0.8969072072483794,0.8453608160272081
male,group E,associate's degree,standard,completed,81,81,79,241,80.33333333333333,0.9999999876543212,0.9753086299344614
female,group D,associate's degree,standard,none,74,81,83,238,79.33333333333333,1.094594579802776,1.121621606464573
